series_id,series_name,image,min_price,max_price,count,price,dealer_price
9778,ZEEKR 7X,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/5c1bfaaf6b9d448294c69698ce7cde5a~tplv-resize:640:0.png?psm=motor.rank.data,22.98,26.99,68795,22.98-26.99万,22.98-26.99万
9268,零跑B10,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/37728f4ddf574234b6b4cba25ab3e26a~tplv-resize:640:0.png?psm=motor.rank.data,9.48,12.48,68369,9.48-12.48万,9.48-12.48万
25236,银河星耀8 PHEV,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/9725a30895f04bf1927b06f59f8a4324~tplv-resize:640:0.png?psm=motor.rank.data,11.58,15.58,67354,11.58-15.58万,11.58-15.58万
25076,秦L EV,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/85588b26d46b44a9b56e5291a42dfcd0~tplv-resize:640:0.png?psm=motor.rank.data,10.98,12.98,65817,10.98-12.98万,10.98-12.98万
10040,iCAR超级V23,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/959c9eb6f8714cf5823571356a65320a~tplv-resize:640:0.png?psm=motor.rank.data,10.98,17.48,65125,10.98-17.48万,10.98-17.48万
8987,铂智3X,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/dfc3ef12f3694e8abc05d4938302bb3e~tplv-resize:640:0.png?psm=motor.rank.data,9.98,14.98,62788,9.98-14.98万,9.98-14.98万
25132,长安启源Q07,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/4faa862b8d9f453e9d69ac02b418f912~tplv-resize:640:0.png?psm=motor.rank.data,12.38,17.08,62717,12.38-17.08万,12.38-17.08万
9266,零跑B01,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/5be73db764e24be994db9929909433f4~tplv-resize:640:0.png?psm=motor.rank.data,8.98,11.68,60078,8.98-11.68万,8.98-11.68万
9249,钛3,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/5f2d6746ab5f42008c8cd9de54c5e038~tplv-resize:640:0.png?psm=motor.rank.data,13.38,17.78,59726,13.38-17.78万,13.38-17.78万
25547,银河A7,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/4f70bedcadc84fd99dac424c7e4d4b07~tplv-resize:640:0.png?psm=motor.rank.data,8.18,11.78,56904,8.18-11.78万,8.18-11.78万
8884,豹5,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/5c571ad2442d4a2dafbe901bc1d83984~tplv-resize:640:0.png?psm=motor.rank.data,23.98,32.98,54181,23.98-32.98万,23.98-32.98万
9912,别克GL8 PHEV,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/bd3282d79812431f969493d86f94c9b5~tplv-resize:640:0.png?psm=motor.rank.data,24.99,39.99,54105,24.99-39.99万,24.99-39.99万
4300,汉EV,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/fbd454e1b6ae4c86b1468468f3372b9d~tplv-resize:640:0.png?psm=motor.rank.data,15.98,21.58,52584,15.98-21.58万,15.98-21.58万
25559,钛7,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/3bb475c050b541e494e0fc3c10da4d40~tplv-resize:640:0.png?psm=motor.rank.data,17.98,21.98,52171,17.98-21.98万,17.98-21.98万
5227,理想L9,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/8c77d1f9ed594a4ba0be695337758a21~tplv-resize:640:0.png?psm=motor.rank.data,40.98,43.98,50233,40.98-43.98万,40.98-43.98万
6303,高山,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/d0b5dcdb6a9d40c88c3fb35b7499079c~tplv-resize:640:0.png?psm=motor.rank.data,28.58,35.38,49309,28.58-35.38万,28.58-35.38万
5830,坦克500 Hi4-T,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/9c530ffa51da4ee49ac7ee6fa60771b4~tplv-resize:640:0.png?psm=motor.rank.data,33.5,35.5,49214,33.50-35.50万,33.50-35.50万
6095,理想L8,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/26a1440a232c4a71bd83ed12139bd2f4~tplv-resize:640:0.png?psm=motor.rank.data,32.18,37.98,48815,32.18-37.98万,32.18-37.98万
9126,蔚来ET5T,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/2cc80e69fbc0418188933b0cdadf045a~tplv-resize:640:0.png?psm=motor.rank.data,29.8,31.6,48786,29.80-31.60万,29.80-31.60万
25161,领克900,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/2aca42e69f824d708b86d79f36e71e83~tplv-resize:640:0.png?psm=motor.rank.data,27.99,38.69,47364,27.99-38.69万,27.99-38.69万
25238,海豹06EV,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/0f8f68edffef4a25801febb0c59ed9ec~tplv-resize:640:0.png?psm=motor.rank.data,10.68,12.68,46607,10.68-12.68万,10.68-12.68万
8796,领克08 EM-P,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/8389358345694639bcd703f070f0fc04~tplv-resize:640:0.png?psm=motor.rank.data,15.98,21.28,45709,15.98-21.28万,15.98-21.28万
5217,大众ID.3,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/3855b142af024d1b8867256c2ac5ae13~tplv-resize:640:0.png?psm=motor.rank.data,11.99,14.49,44902,11.99-14.49万,11.99-14.49万
9128,ZEEKR 007,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/1c48f95229f4447f99ce1aff744e1f6b~tplv-resize:640:0.png?psm=motor.rank.data,20.99,29.99,44032,20.99-29.99万,20.99-29.99万
25094,日产N7,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/3c036397a27749aea9869595d11a1cfd~tplv-resize:640:0.png?psm=motor.rank.data,11.49,14.49,43457,11.49-14.49万,11.49-14.49万
5015,ZEEKR 001,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/750b7836d2fa4303bb1831c88b379ddd~tplv-resize:640:0.png?psm=motor.rank.data,25.9,32.98,43272,25.90-32.98万,25.90-32.98万
8985,风云A9L,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/e958401ee7684f5bbf5d5a1de1c905d1~tplv-resize:640:0.png?psm=motor.rank.data,13.99,22.69,42951,13.99-22.69万,13.99-22.69万
24535,领克Z20,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/6db59fb3f9cf47eba41f74232a214fe7~tplv-resize:640:0.png?psm=motor.rank.data,10.49,14.29,41725,10.49-14.29万,10.49-14.29万
8859,银河L6,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/0db9740a08984497abb3c19cf5d22e44~tplv-resize:640:0.png?psm=motor.rank.data,7.58,10.28,41496,7.58-10.28万,7.58-10.28万
25571,缤果S,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/fe583d70163f47ab97f855da90ff055a~tplv-resize:640:0.png?psm=motor.rank.data,6.38,7.68,41480,6.38-7.68万,6.38-7.68万
8830,银河L7,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/00de72e8346a464fa99ff1cf935bce9e~tplv-resize:640:0.png?psm=motor.rank.data,11.18,15.77,39978,11.18-15.77万,11.18-15.77万
10270,坦克400 Hi4-T,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/4b3bca0e7a1841399b33a401c956b54f~tplv-resize:640:0.png?psm=motor.rank.data,28.58,29.98,39974,28.58-29.98万,28.58-29.98万
25401,极狐T1,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/8c49609f761840fc8742c0a59f12fba7~tplv-resize:640:0.png?psm=motor.rank.data,6.28,8.78,39308,6.28-8.78万,6.28-8.78万
25234,乐道L90,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/0592a4e832d14b2bbb2b1d9bcfcd918f~tplv-resize:640:0.png?psm=motor.rank.data,26.58,30.68,39264,26.58-30.68万,26.58-30.68万
5828,MG4,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/060d2565ceea40fca95c269f4a69aca6~tplv-resize:640:0.png?psm=motor.rank.data,6.58,9.98,37776,6.58-9.98万,6.58-9.98万
25399,海狮06DM,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/33ad68f9617b43448e36f7f8e4d763ce~tplv-resize:640:0.png?psm=motor.rank.data,13.68,15.38,36577,13.68-15.38万,13.68-15.38万
8943,捷途旅行者C-DM,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/a9c000b1bb6346c68b89ee2ca7f07c8c~tplv-resize:640:0.png?psm=motor.rank.data,15.29,21.99,31752,15.29-21.99万,15.29-21.99万
20021,海豹07DM,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/01a9f2d58209478facf22eb94e45bd8f~tplv-resize:640:0.png?psm=motor.rank.data,11.18,17.98,30756,11.18-17.98万,11.18-17.98万
25521,银河M9,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/4ce0a4be183540a58d72ad06dabed315~tplv-resize:640:0.png?psm=motor.rank.data,17.38,23.88,28465,17.38-23.88万,17.38-23.88万
4370,领克07 EM-P,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/838ec1e233614f3b9c64c6416770defa~tplv-resize:640:0.png?psm=motor.rank.data,13.98,15.98,26823,13.98-15.98万,13.98-15.98万
4838,宝马i3,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/7179c9f91abe42b1bfca1c56f5cc2763~tplv-resize:640:0.png?psm=motor.rank.data,19.42,23.18,25899,19.42-23.18万,19.42-23.18万
1616,蔚来ES8,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/4fcf3687c3ad4a38b35a6abdfbc9e0a0~tplv-resize:640:0.png?psm=motor.rank.data,40.68,44.68,25472,40.68-44.68万,40.68-44.68万
24597,夏,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/0c2f148741094b5fb3ebe3abed763d91~tplv-resize:640:0.png?psm=motor.rank.data,19.68,27.48,24708,19.68-27.48万,19.68-27.48万
